"callsite_rva","iat_mem_rva","dll","import_name"
"0x000050BC","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000050E9","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005116","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005143","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005170","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000519D","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000051CA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000051F7","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005224","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005251","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0000527E","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000052AB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000052D8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005305","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00005332","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000289FB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00028A2B","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00028ADB","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x000388C2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0006B5E2","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0006BC68","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x0006C2EE","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00186D72","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00187058","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00187296","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001874A8","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00187739","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00187998","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00187BBA","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00187E25","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00188170","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00188402","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00188664","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x001889A0","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00188D0A","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00188F7C","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x00189213","0x004301E8","KERNEL32.dll","GetProcAddress"
