"callsite_rva","iat_mem_rva","dll","import_name"
"0x003C6093","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C60AF","0x004301E8","KERNEL32.dll","GetProcAddress"
"0x003C6132","0x00430200","KERNEL32.dll","SetLastError"
"0x003C6152","0x00430198","KERNEL32.dll","GetLastError"
"0x003C6176","0x00430198","KERNEL32.dll","GetLastError"
"0x003C61AB","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003C61D5","0x00430200","KERNEL32.dll","SetLastError"
"0x003C61FB","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003C6225","0x00430200","KERNEL32.dll","SetLastError"
"0x003C624B","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003C6275","0x00430200","KERNEL32.dll","SetLastError"
"0x003C62AE","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003C6333","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003C6383","0x004306C8","KERNEL32.dll","EncodePointer"
"0x003C6FC6","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003C6FE2","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
"0x003C6FEB","0x00430188","KERNEL32.dll","QueryDepthSList"
"0x003C7012","0x00430190","KERNEL32.dll","InterlockedFlushSList"
"0x003C7038","0x00430588","KERNEL32.dll","InterlockedPushEntrySList"
